"","MS01","MS02","MS05","MS07","MS08","MS09","MS10","MS11","MS13","MS14","MS16","MS17","MS19","MS20","MS21","MS22","MS23","MS24","MS25","MS26","MS27","MS28","MS29","MS30","MS32","MS33","MS34","MS37","MS38","MS39","MS40","MS42","MS43","MS45","MS47","MS50","MS51","MS54","MS55","MS57","MS58","MS59","MS63","MS65","MS66","MS67","MS68","HD15","HD19","HD20","HD21","HD22","HD23","HD24","HD25","HD26","HD27","HD28","HD29","HD30","HD31","HD32","HD33","HD34","HD35","HD36","HD37","HD38","HD39","HD40","HD41","HD42","HD43","HD44","HD45","HD46","HD47","HD48","HD49","HD50","HD51","HD52","HD53","HD54","HD55","HD01","HD02","HD03","HD04","HD05","HD06","HD07","HD08","HD09","HD10","HD11","HD12","HD13","HD14","HD16","HD17","HD18"
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,6.7542793397324,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,7.30768917079494,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273,-0.140619685105273
"1CMET2-PWY: folate transformations III (E. coli)",0.102534722098869,-0.337748790023892,-0.132597948700084,1.10649802167556,0.365412999454316,0.324950023531444,-0.433046968933641,0.474868423210603,0.0870491903707029,0.862296979822778,0.541044377029066,-0.362352386678461,0.155495078403789,-0.120840949162008,0.255734336339362,0.965127212850232,0.549143376230721,0.676740655927656,0.523637096779291,0.0787680672476913,0.783942560481546,1.09340829661956,-0.011648736138992,1.2952738824959,2.05214609114413,1.56932386091399,2.67678296516463,0.0348621987842102,-0.217762007845663,0.0475219294967331,-0.429102778585793,-0.296471593717422,0.816450492143206,-0.0450544619475638,0.363486754985505,0.087522764950828,-0.526245446466005,0.163975528793368,0.555429279159598,-0.00890192638946699,-0.0914611682314286,-0.590841488293364,-0.454769737781652,-0.440308206965706,0.202341009391447,-0.668564104100343,-0.10782925174476,-0.200181648763793,-0.142045001712549,-0.244015912694026,-0.905883335354466,-0.810675701516933,-1.25874481383258,-1.21226958519244,-0.927812247707152,-1.1919453644415,-0.927657471209296,-1.31773297907808,-0.716094150627962,-0.971536368544426,-1.07314863990376,-0.0519282336554573,-0.661079579651738,-0.743169916114031,-0.871492227296101,-1.19055218566888,-0.869564222594309,-1.01754959854451,-0.784363336642496,-1.02588048128925,-0.121656098319378,-1.13264117864593,-1.09506980333566,-0.212614865282799,-0.828728722084676,-0.747806388722747,-0.710934543722371,-1.07478307272396,-1.35198790340732,-1.06882522836544,-1.02564658132429,-0.795947269793586,-0.938942272117022,-0.844733459340794,-1.21792145548103,1.63423762685215,2.09170469901352,1.38639334651886,0.385906556147578,1.21910180213904,2.63904356431102,2.93767619605863,1.80560903745803,2.08982654539524,1.21041530164334,0.779990184759064,0.240055047834696,1.27801894718663,1.5185766678902,-0.285348731355804,-1.83035336864007,-0.353511802299891
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.115136049091326,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,1.97229037703068,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,0.608151419019954,-0.169937258438632,-0.14393870829356,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.0598533479113987,-0.169937258438632,1.29627942181299,0.134469522306317,-0.169937258438632,-0.169937258438632,-0.169937258438632,9.54481908998283,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.0493273556497786,-0.169937258438632,1.06977904783406,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,0.0229870407830577,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.068326115239838,-0.0599317942004051,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.113893469036196,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.0164519842421501,-0.169937258438632,-0.169937258438632,-0.169937258438632,0.517752383918741,-0.0950025117402625,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632,-0.169937258438632
"AEROBACTINSYN-PWY: aerobactin biosynthesis",-0.234944523381444,-0.234944523381444,-0.234944523381444,2.36646161732254,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,0.106826276306518,6.49758981155819,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,1.06360490910197,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,0.818066646256554,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,0.713700020497254,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,0.317352829761606,0.359934772470262,2.32367168465645,0.490864237832884,-0.234944523381444,-0.234944523381444,6.32187882194719,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444,-0.234944523381444
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",-0.479427537914308,-0.479427537914308,2.14750809905276,-0.323629299907299,-0.479427537914308,-0.344050094702094,0.429790518079471,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.378853712163705,0.236610550057448,-0.26317746970555,-0.479427537914308,-0.00704116233513463,-0.479427537914308,-0.27280457841224,-0.479427537914308,-0.339252361482164,7.59301316766424,-0.479427537914308,0.255949715389555,0.197806629968133,0.25828165832362,2.9464369385426,-0.114484364442117,0.212528850029892,0.160480606945162,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.479427537914308,0.0397654199116685,-0.141827443415625,1.94381363416113,0.169261443992625,-0.14310874223064,-0.163661528467219,1.91750362059201,0.148322340933872,0.0256218163535556,-0.479427537914308,-0.479427537914308,0.313025543516171,-0.392667302035543,-0.479427537914308,-0.138911805655081,0.0537741362036186,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.375912378530021,-0.479427537914308,-0.479427537914308,-0.479427537914308,0.496418796218403,0.268719824196016,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.097514585432768,-0.400951268984303,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.22512293153654,0.178113737332887,-0.126727347797164,-0.479427537914308,-0.479427537914308,0.282373232345884,-0.479427537914308,-0.0320219390942759,-0.479427537914308,-0.382792359079274,-0.479427537914308,-0.479427537914308,-0.479427537914308,-0.251849053908604,-0.121249493709444,-0.479427537914308,-0.479427537914308,-0.322209939016072,2.70154620571998,-0.479427537914308,0.182591098821564,0.870591004540872,-0.0449857462658373,0.909069704927472,0.480945503629265,0.271307693650876,0.164504399045858,0.647848514579223,-0.0758634925022809,-0.360154118590668,-0.479427537914308,0.394114912023239,-0.189121760355521,-0.252308906676617
"ANAEROFRUCAT-PWY: homolactic fermentation",-0.232260712824857,-0.306734533153346,0.888510093134058,0.980111688749023,1.4898333060057,0.974769904081804,-0.392541602480364,1.42477499988423,-0.144253797175693,0.0745329980833941,-0.385052612769139,-0.362377475379708,-0.0980933563654781,-0.294697280582818,0.585804810116471,0.590641165419744,-0.0162997368878283,0.28764473160104,0.39878124256788,0.0476290818042204,1.66928122636397,0.60604848776094,-0.0491886555775868,2.01509888882303,1.61585567651493,0.811238318847467,2.04261409785414,-0.603578950440467,-0.150998463807768,0.670836748216383,0.285717152122681,-0.331657111528073,-0.191495500237203,0.308159510568397,0.1066347227134,-0.271557134724058,-0.879444680056323,1.0112823961585,1.64640293633714,0.225874992701203,-1.04923222077813,-0.257893473427087,-0.521456513521413,-0.256768695477433,-0.187192270437541,-0.83876489810903,-0.714689945060838,-0.840919813711781,0.341595172753367,-0.261960924156164,-0.879549138083354,-1.24572962338109,-1.17994385410087,-0.938350324652358,-0.747113371578375,-0.997390649705974,-0.744822099969835,-0.735393683842556,-0.622631044040151,-0.816141654291812,-0.921324741305744,-0.0165998207199244,-0.906584329627172,-0.682826975109638,-0.882712852537464,-0.825047880059102,-0.57367124088065,-1.22317177226301,-0.691299217345544,-0.844253927456798,-0.520295863175744,-0.483616125449289,-1.047433384059,-0.795781185041173,-1.07426677718523,-0.860304549980918,-0.692563188856585,-0.849606102219749,-0.900991447769943,-0.560735085393607,-0.66982600910572,-0.775213590474676,-0.56195208499233,-0.717348340000785,-0.908995827236371,2.3277633253894,1.00172048945086,2.76168745582799,0.158166638989326,2.13240491827919,3.95670066273754,1.33689221265127,1.44291519806711,1.60489136639555,0.555769671738885,0.855729275699263,-0.213922582759265,0.402544230496835,0.368898527243621,-0.600334849259758,-1.26603926591246,-0.392863503655872
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.430040136956107,-0.0489805531322876,0.146579199724732,0.744356389035108,0.644338652186819,0.43539763834998,-0.209111563923699,0.746030754357652,0.251526042427514,0.672008948186263,0.419480373450132,-0.181712580624727,0.00905022903206843,-0.333760349542496,0.633229778151551,0.871857163757443,0.0339374851188767,0.738060663359147,0.145909566983792,0.00640524832943008,0.949776798211752,0.847326683923942,-0.0967541103358051,1.4932980407399,2.17392148395474,1.68733246184639,1.94079562836839,-0.195746193300249,-0.100326940239999,0.157112929852822,0.0107393437263786,-0.508560097432467,0.122870258431361,0.225593996437039,-0.0623653144719879,-0.00541217549302973,-0.951002974720517,0.270247582239178,0.649668270785953,0.0621037484102467,0.191193189855879,-0.450967342051599,-0.381206615626204,-0.44365100923838,-0.156867556941747,-0.847401900079802,-0.502746012899869,-0.655636972901404,-0.328089096266652,-0.374354488182717,-1.0698724883677,-0.881826749281663,-1.12047852950362,-1.01666128324607,-0.98648397428415,-1.10963186524424,-1.09888238547631,-1.08788819300448,-0.697318589424485,-0.868542113453384,-0.947647540112949,-0.0584667232786401,-0.802251043332851,-0.982854949605318,-0.896600766835405,-1.00816606278165,-0.724340053738437,-0.904041608345395,-0.791066778566161,-0.936092693125527,-0.69969154708391,-0.845703544406554,-0.963608104860148,-0.560794902303733,-0.966773856521385,-0.985439218827171,-0.733925469137797,-1.03658408478856,-1.15701639927143,-1.13097727573945,-0.936358856479102,-0.669263169973457,-0.855563401602415,-0.646321486612585,-1.1397614754654,2.22119907428908,1.80499269188532,1.73802455626222,1.10263097875666,1.73912041563549,2.80267047520266,3.08656073676036,1.94618980886109,1.53312288177216,1.32247135029905,0.966619978777341,0.154347956932158,1.3235592414819,1.0946903347994,-0.452248793287639,-1.64472773205628,-0.297861611074482
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.710247764616506,-0.582938249058561,-0.149698346051675,-0.0855653720192667,-0.613579836934715,-0.188604238753252,-0.449927293771028,-0.0971319311468821,-0.681939621445749,-0.0641655054846212,-0.0736932200054598,-0.724836312276114,-0.851274836689385,-0.707482997152545,0.217961807669847,-0.376540985194158,0.687099058406474,0.557747173617817,1.00164240505832,-0.0539160724483167,5.18692985994347,1.26322701883929,-0.450209219191378,0.0103263357018267,3.00977985653841,0.834944583526756,0.22204418899873,0.407663263031547,-0.202412667043654,-0.490079168490687,-0.551416503611503,0.16863136812903,-0.65085906517195,-0.187362901059884,-0.675143683080534,0.91589675932214,-0.375442608384094,-0.171096359934577,0.162116347702705,-0.129697690782923,-0.064438765144977,-0.0477740100999503,-0.504343639272068,0.990551405219444,0.211565244404476,-0.458807496606992,-0.166519051834334,-0.81962683744163,3.63721915235922,0.943286473709984,-0.987565091471594,-0.567061293638138,-0.86631080220989,-0.601224929389537,-0.631901937574533,-0.594731911889942,-0.147487573620809,-0.307823820497386,0.568084633438054,-0.459420722214133,-0.604690219150421,-0.511531825878438,-0.216893640060423,-0.175675654301855,-0.194684773829909,0.0547059580792333,-0.415905656301229,-0.847707796824735,-0.220248617916491,-0.773152296884017,-0.388833847529958,-0.736972322319784,-0.888422295182955,-0.637155265068992,-0.867274808610929,-0.563798686366189,-0.510182535417836,0.0924529711962602,-0.31059495311155,-0.734593124819064,-0.394977590254468,-0.635073419340284,-0.791218441280388,-0.1831999111803,-0.0338992383335797,-0.754175411397225,0.170369947390458,-0.986979253843207,-0.276406332050897,0.0967495835891952,1.42642056778942,3.16980955705513,0.097662171085351,0.563820485017666,1.67387981860175,1.14012971868985,0.435162118818377,2.45390218201762,-0.0880507494297585,-0.82224496312092,-0.966130439088719,-0.741303142580978
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",-0.203582460571799,-0.203582460571799,-0.203582460571799,0.284165788635552,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,3.41446907415705,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,2.48256914013978,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,1.66197787369895,-0.16606043015489,-0.137083590030469,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.0887923993843257,-0.203582460571799,0.265850384010877,0.256674981273046,-0.203582460571799,-0.203582460571799,-0.203582460571799,8.68016679292556,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,0.0235084955893996,-0.203582460571799,1.08015556079052,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.164109391284074,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,0.115691020058552,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.0411304781210926,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.159961213129746,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799,-0.203582460571799
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",-0.980865061969162,-1.39658416669668,-0.211831378945021,1.56337445902727,-1.38414865282762,-0.880962592440077,-0.165740256876187,-0.83642743110315,0.301854247377128,-0.418387567237282,-1.12803548078258,-0.819181528898135,0.558664201440448,-0.139449250753421,-1.34480404917637,-0.543326002754664,1.2601631137799,-0.0465665206066655,1.15334122126849,1.6032253943842,2.34246961594458,-0.424981120871092,-0.134656051147505,0.474060147771217,0.603003822554823,1.89905780360622,3.02066770553254,0.403300798810595,-0.772613234388175,-1.25122052198186,-0.780782002792441,0.543827378429737,2.74188802281737,-1.12731863478088,0.738495986811213,0.18260388392845,-0.117382389473347,-0.694579060148701,-1.26601828868154,0.131421292213151,-1.21352157486111,-1.00291325935152,-0.250691806003753,1.57013206562205,2.16660063226659,-0.338103996107359,0.779203477220516,0.805990619683959,0.480293622940161,-0.324788166563955,0.731946262783863,0.133421942341445,-0.942985994053388,-0.958196789963173,-0.00266050279559684,-1.14912705584818,0.0530446856855351,-0.700392849775758,0.228172767098298,-0.96204507763726,-0.593879143739109,0.743601579972439,-1.19757921585991,0.156155730406765,-1.17599409454134,-0.943959199271843,-0.539580493724261,0.168606668962671,-0.639782499109497,-0.169902947085096,-0.406356176928203,0.412215224260972,-0.368780394112525,0.869901039241,-0.0245397991988357,0.529634782691903,-0.147813536746213,-0.818839548343015,-0.631351183488962,0.423216596693112,-0.555553285454712,-0.364561194718067,-0.997068911673041,-0.410229937510181,-0.760211425298097,-1.08286285921702,1.97435128082603,0.0284831538378181,-0.245585258209624,0.0712651054317597,0.77533773669533,0.306257066755565,0.251705973548295,3.61999226594607,0.78967998088711,0.164792304694762,0.246099120807971,-0.559294354830239,-0.0726365652438906,0.671588586229392,-0.891395180304726,-0.364063846326761
