"","MS01","MS02","MS05","MS07","MS08","MS09","MS10","MS11","MS13","MS14","MS16","MS17","MS19","MS20","MS21","MS22","MS23","MS24","MS25","MS26","MS27","MS28","MS29","MS30","MS32","MS33","MS34","MS37","MS38","MS39","MS40","MS42","MS43","MS45","MS47","MS50","MS51","MS54","MS55","MS57","MS58","MS59","MS63","MS65","MS66","MS67","MS68","HD15","HD19","HD20","HD21","HD22","HD23","HD24","HD25","HD26","HD27","HD28","HD29","HD30","HD31","HD32","HD33","HD34","HD35","HD36","HD37","HD38","HD39","HD40","HD41","HD42","HD43","HD44","HD45","HD46","HD47","HD48","HD49","HD50","HD51","HD52","HD53","HD54","HD55","HD01","HD02","HD03","HD04","HD05","HD06","HD07","HD08","HD09","HD10","HD11","HD12","HD13","HD14","HD16","HD17","HD18"
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,6.87746237852047,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,7.19173743937288,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933,-0.140691998178933
"1CMET2-PWY: folate transformations III (E. coli)",0.556508597033463,1.67846887470048,-0.662167885196913,0.6897430145293,0.240017418285325,-0.169124460852045,0.173067361242451,0.433616251559521,1.01251076112521,0.40406407794294,1.29265015108834,0.202476885589766,0.380503173635593,-0.485116367157748,-0.517711725185369,0.865914862074649,0.375724423115131,0.0831269969692981,-0.992995315506433,-0.285550039452529,-2.04824328491269,-0.108878919464742,0.570369351030621,-0.479339071752413,0.135075105860876,0.895918758377244,0.412385285316876,0.465094190311214,0.932056573258341,-1.3972633446105,-0.744310089416776,-1.4040391849007,1.72908559041223,0.949602433378242,1.9860444741194,0.16046667579049,0.114914009137737,0.260725337207324,0.19629541725484,-0.0446867482943722,1.19115519600453,-0.826808916809807,-0.923976844059179,-1.13609630745994,0.462740477368301,0.620320370152454,2.70121658559196,1.25491941936709,-1.99196814818666,0.409437200418682,0.38618536952808,-0.10462321626493,-0.924785189918362,-0.693360525410071,-0.10521758822021,-1.02159649399457,0.489558539990588,-1.65058467195135,-1.82737466633019,-1.50772142877996,-0.392132818473556,-0.65372780343192,0.731158852373293,0.0444214952413862,-1.26291150783874,-0.631331868156924,-0.101104534289664,-0.880587691323651,-0.4268916904184,-0.277918303546718,0.467400353497705,-0.757885544875398,-0.336856226632402,2.10140018320038,0.758024464752004,1.20144971827,1.16398051020907,-0.542508923159701,-1.82026597774503,-0.804056358361643,-1.10701963140758,-0.853365455771772,-0.50782137584949,-0.79751826685355,-1.88949842309618,0.655126791853722,1.81890708029433,-0.541082430467026,-0.893283476288457,-1.31350444867227,-0.504445343143492,0.376223695557568,1.08694990480462,-0.103125398937621,0.131984371693414,-0.837816685421616,0.0293957722118772,2.11702027818517,0.507294599136179,1.89096873615262,1.25760598060496,-0.761071378555706
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.115075804746829,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,1.73370274269472,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,0.715520085100962,-0.180529066460306,-0.144915132883371,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.0234077518417533,-0.180529066460306,1.6880403415745,0.180124518685215,-0.180529066460306,-0.180529066460306,-0.180529066460306,9.45447236677724,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,0.061515201887074,-0.180529066460306,1.46949197254987,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,0.224495537011754,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,0.0112924305766238,0.0136118882437122,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.135231159531205,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.089891045069236,-0.180529066460306,-0.180529066460306,-0.180529066460306,0.398292740393964,-0.0970682822972223,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306,-0.180529066460306
"AEROBACTINSYN-PWY: aerobactin biosynthesis",-0.258932384107926,-0.258932384107926,-0.258932384107926,2.6333072894455,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,0.0576373410829715,5.34373307552825,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,2.35778299181337,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,2.42638659002223,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,1.9164044722353,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,0.210182273613497,0.148636139008382,1.57641001494748,0.44760813228495,-0.258932384107926,-0.258932384107926,6.44475863383927,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926,-0.258932384107926
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",-0.599861902932343,-0.599861902932343,2.97852969755772,-0.435640578077993,-0.599861902932343,-0.43513482866021,0.959194968953879,-0.599861902932343,-0.599861902932343,-0.599861902932343,-0.599861902932343,-0.432382235083423,0.385024737431573,-0.300272706398188,-0.599861902932343,-0.0723303465166128,-0.599861902932343,-0.369100513751645,-0.599861902932343,-0.415966626466218,6.01731559774084,-0.599861902932343,0.500215900681924,-0.00513849388734627,-0.0178350986004509,2.67743422563727,-0.338294688268451,0.405258704276373,0.481835350835627,-0.599861902932343,-0.599861902932343,-0.599861902932343,-0.599861902932343,0.219182819866906,-0.0924446093572038,2.73600938503023,0.555640849697443,-0.144763239463498,-0.228805425751923,2.74512684001748,0.43416323115938,0.230283371190557,-0.599861902932343,-0.599861902932343,0.481368505219212,-0.424246552437357,-0.599861902932343,-0.00944185283866099,0.00914219381479125,-0.599861902932343,-0.599861902932343,-0.599861902932343,-0.599861902932343,-0.347529852193178,-0.599861902932343,-0.599861902932343,-0.599861902932343,1.67243930763298,0.546872531389131,-0.599861902932343,-0.599861902932343,-0.599861902932343,-0.599861902932343,0.155244921085389,-0.457823725124664,-0.599861902932343,-0.599861902932343,-0.599861902932343,-0.11306960928242,0.882063693841789,-0.0546201390938865,-0.599861902932343,-0.599861902932343,0.840536379714939,-0.599861902932343,0.4039000638286,-0.599861902932343,-0.3819786695378,-0.599861902932343,-0.599861902932343,-0.599861902932343,-0.183896473506167,0.143513928672903,-0.599861902932343,-0.599861902932343,-0.455488898522567,2.36101664117806,-0.599861902932343,0.122342280461799,0.487285873160612,-0.317669688343234,0.344413158936922,0.28647043569954,-0.0281316380291645,0.0211425202367467,0.492816198155069,-0.0822298676646998,-0.461552105842428,-0.599861902932343,1.07134565049732,1.01650725110243,-0.263786925915275
"ANAEROFRUCAT-PWY: homolactic fermentation",-0.205597807449635,0.548518158958003,1.91413042525369,0.938974212409283,2.64969843816249,1.54166407237426,-0.04910555569465,2.44468005072999,0.146143405515752,-0.370798804865469,-0.710384060345919,-0.0608986487770509,-0.0405224169423698,-0.420971786677578,0.776620304921035,0.532887077002631,-0.274039616297083,0.0337391786688201,-0.0380102787709711,0.103604532480062,0.89104819862826,0.0813302406936571,0.329013108070426,1.61856341306542,0.681828957920244,0.333981559120527,0.793716800809722,-0.956768989667466,0.511254776082251,0.784421889575546,1.1760363178503,-0.604623043330021,-0.443273991110331,1.3440425362242,0.690537703581095,-0.390449307895079,-1.21353742343079,2.1266294019077,2.54989677114208,0.670301034978158,-1.76281085207792,0.154182247664229,-0.678089128520268,-0.184091113437824,-0.243949783532993,-0.844797408838942,-0.617504729620028,-1.16319696574059,0.194125244589473,0.0929279452516158,-0.73138832672345,-2.0633546891102,-1.61850805298349,-0.757305218858383,-0.403428688447308,-1.08285041322535,-0.215018325592381,-0.161398131956186,-0.885577785154652,-0.95926717151569,-0.833785869854309,-0.00242165467615148,-1.03179818305325,-0.440398988536397,-1.19309140998024,-0.371580358963238,0.0425595749150657,-1.96369677221848,-0.546690345832924,-0.615550844375606,-0.633749889795075,0.632367748590033,-1.22249738290878,-0.868620852497709,-1.38838224016017,-0.679624324069456,-0.192576557927883,-0.632326344831282,-0.722372541952762,0.208863121861681,-0.329139180189769,-0.885033488550849,0.0584000017180538,-0.647134003719362,-0.996642204976838,2.25463679806365,0.504918605361056,2.41580441808207,-0.245750149222496,1.37244365388419,2.27051909383616,-0.110052818997425,1.07587178642736,0.540674705333969,-0.00236582938345385,0.442157020045603,-0.461305560651706,0.347602930538779,-0.368384360956291,-0.291247762771167,-0.535692763171466,-0.457886261473969
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",1.61309962759795,2.33140449351756,0.418834090550322,0.261380594795233,1.24300345391898,0.459990737890428,0.835746291505163,1.39839775360106,1.47100146149991,0.343312051793031,1.01165072955686,0.729486319313611,0.0800076956489756,-0.887691725126782,0.849847011634279,0.950488515070323,-0.654675279434143,0.632281355019286,-1.20610344107911,-0.218548460817867,-0.820229188880426,-0.0540446049982205,0.29409590194199,0.582874286327039,1.03743841017984,1.58667100515093,0.0166226403683884,-0.201433950409705,1.12793394091176,-0.575457597393495,0.817308986268641,-1.60995133847139,-0.091587431415487,1.7341694470431,0.435171288533572,0.0427921586737776,-1.70946096592028,0.731900078948866,0.76820193289829,0.32983863642788,1.96449939189876,-0.304543761721349,-0.527414234709866,-0.915170401200444,-0.45355591728309,-0.647229444627086,0.444458126452264,-0.736961299994182,-1.80993882463529,-0.136126069656967,-1.08128343011026,-0.81163784102613,-0.898819566157109,-0.389079897195609,-0.908556427058644,-1.16659687800943,-1.09707514569006,-1.00382492882073,-1.50921437561474,-1.18206130414717,-0.395939338418959,-0.364615011400993,-0.406848986487907,-1.347860680675,-1.42684653269418,-0.392925548139912,0.0799940585888897,-0.739961453213142,-0.719819515465848,-0.441596215587506,-1.47666271318902,0.0761620447046717,-0.349859712387741,0.14164720723853,-0.615673287587654,-0.703959614585615,0.341498322801569,-0.922452591286467,-1.32998249490201,-1.54975735525097,-1.01015252470072,-0.493198850953629,-0.542155896663032,-0.1967018905598,-1.78296471978481,2.31969025890353,1.60956762903563,0.820936444251567,1.32170292767636,0.440612475507959,0.626321959761623,1.35981851061724,1.82107843097236,-0.255654901312376,0.899376813867301,0.199850179686368,0.0524744713349685,2.34306417989125,0.189608747561642,0.659855490513552,-0.362023969984617,-0.411281031015917
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",1.20753731204337,-0.49533944363571,-0.191652669994249,-0.447214659244775,-0.932938530538807,-0.397762645850217,-0.37141280592503,-0.253523112779359,-0.90206173119043,-0.375595225087686,-0.122049545361851,-0.902220519310502,-1.21899982285225,-1.00093579795689,0.105562738753704,-0.726759646630732,0.721414972448028,0.399476553005061,0.731883004363731,-0.109658079991689,3.95135707886136,0.864659832766736,-0.534242533053397,-0.556047437541801,1.88753095824007,0.392564775778523,-0.592269104931853,0.778512783624175,0.062102729890172,-0.838372715030154,-0.672774681808453,0.225627529544138,-0.976545343513349,-0.0261834648699654,-0.893876653001048,1.40694223482912,-0.17881180428426,-0.232515144893581,0.00433381420655019,-0.125980300334204,0.263787610399977,0.289295573688555,-0.60591889125353,1.72694523680857,0.34270231007359,-0.16117134294492,0.358233585818009,-1.04902463032064,4.24196929861612,1.98762739393086,-1.27888990813986,-0.40128594451446,-0.926296393516164,-0.23294357321755,-0.463941339893134,-0.294403563692284,0.825588967222181,0.441267788606703,1.17763121742902,-0.282398582614373,-0.324902866755206,-0.752192709862672,0.383163320669343,0.408596383901283,0.197863576549629,1.46710196032062,-0.0168599058196889,-0.992723755747119,0.251150472844043,-0.757597497949657,-0.394769639586969,-0.656542341533903,-1.01393545178695,-0.622822336035555,-0.989643865418172,-0.254691553662908,-0.160647042548455,1.34920327916816,0.441651276896688,-0.698471393239758,-0.0150982564875673,-0.652734422654436,-0.86818892957654,0.305701682094504,0.837950472569688,-1.26402374489838,-0.330047002645092,-1.50561327838324,-0.630072661518096,-0.571228181021155,0.153471810981522,1.51755463847186,-0.413626477846108,-0.245571722766687,1.28229356057245,0.738821745610659,0.533185138112642,2.85086552669312,-0.59122949214572,-0.992924487898908,-0.613798377211829,-1.01115516168455
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",-0.209946228175291,-0.209946228175291,-0.209946228175291,0.247568433466068,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,3.1033125833061,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,1.67600560494129,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,1.99177471033438,-0.167518456473816,-0.116591672874154,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.0420400255184397,-0.209946228175291,0.403160366270199,0.348894980134762,-0.209946228175291,-0.209946228175291,-0.209946228175291,8.81963190451692,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,0.257103556445687,-0.209946228175291,1.5410875432584,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.125018763392588,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,0.367507910878202,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.0753827368799839,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.174120315338006,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291,-0.209946228175291
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",-1.13608723019596,-1.60797601901683,-0.319073510063224,0.885899813570314,-1.60203758419294,-1.11174612920241,0.0828467367386981,-1.05841944861164,0.443345980528326,-0.757163714288657,-1.3283881697633,-0.839287122486557,0.543725614581535,-0.21636843582699,-1.5655248123942,-0.851696938852128,0.944411921685514,-0.406641617161779,0.487838229040431,1.54254458486641,0.839455027533577,-0.862956038430641,-0.0980430613937,-0.300745264381187,-0.353873490338304,0.911186774954892,0.91942904401379,0.484413286169355,-0.764247264357526,-1.48120623987763,-0.853502235842116,0.450195866270477,2.60334861935539,-1.27067468150448,0.961824715347806,0.13029980034963,0.218308028611525,-0.851687336208564,-1.4923369841205,0.0971546756487061,-1.3688265022509,-1.09171181384721,-0.215893104970584,1.87988545326143,2.28596524516706,0.111558640994352,1.72605110336994,1.45338403937687,0.103716482083945,-0.220846468608892,2.24573016863489,0.86983139000695,-0.710734932657859,-0.745661347739862,0.811975462535274,-1.1469158112547,1.08313811237002,-0.303611653484971,0.385666101521986,-0.960157197464245,-0.127523177134454,0.651803367891696,-1.28112715902364,0.855043318918754,-1.28882367784,-0.725257330607458,-0.170246938790233,1.00722921499847,-0.446052466788059,0.612832639428755,-0.383860945747344,1.70921446832147,0.327938209297826,1.8290394555913,0.863797728967718,1.86149639083682,0.588970070172802,-0.559786177157276,-0.169525140082357,1.56787955946881,-0.235812188603017,-0.0958856674730411,-0.941345618722832,-0.110708948254304,-0.54278789760882,-1.38688907479434,0.898879386787335,-0.645328126463877,-0.609105354500766,-0.670992791828629,-0.489078711716096,-0.691480031871919,-0.397767174068267,1.4447896733873,0.0736442033234248,-0.403527159765932,0.075660758471815,-0.836787234278791,-0.630877748341007,1.56559092941945,0.68456438685007,-0.386885778469929
