"","MS01","MS02","MS05","MS07","MS08","MS09","MS10","MS11","MS13","MS14","MS15","MS16","MS17","MS20","MS21","MS22","MS23","MS24","MS25","MS26","MS27","MS28","MS19","MS30","MS32","MS33","MS34","MS29","MS37","MS38","MS39","MS40","MS42","MS43","MS45","MS47","MS50","MS51","MS54","MS55","MS57","MS58","MS59","MS63","MS65","MS66","MS67","MS68"
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,6.7838656629781,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406
"1CMET2-PWY: folate transformations III (E. coli)",-0.259513310434636,-0.905077133732606,-0.604275586930949,1.2125435989889,0.125930843431951,0.0666021774257167,-1.04480768242769,0.286419392049474,-0.282218905336518,0.854484862081505,-0.584267958132234,0.383449602314366,-0.941152052474456,-0.587036936462938,-0.034885028943842,1.00525925302739,0.395324725378366,0.582413692953892,0.357926251832574,-0.29436106682405,0.739598028644702,1.1933508454099,-0.181860413703191,1.48933540041246,2.59909605078786,1.89116001335181,3.51496720531144,-0.426934319461349,-0.35873785934541,-0.729147025710299,-0.340175583140027,-1.03902453013907,-0.844554620558877,0.787262644904871,-0.475915322563306,0.123106495688614,-0.281524528626637,-1.18145955292646,-0.169425989460525,0.404541403759259,-0.422906821372161,-0.543958957881007,-1.27617322396749,-1.07665859967537,-1.05545444174706,-0.113172767035393,-1.39013367816475,-0.567958590576724
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,5.30396893679919,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.121916989711802,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,1.75813743756571,-0.264362781732235,-0.196784271861636,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,-0.264362781732235,0.0217803528905603,-0.264362781732235,3.54680121956509,0.526887365774519,-0.264362781732235,-0.264362781732235
"AEROBACTINSYN-PWY: aerobactin biosynthesis",-0.218650640094518,-0.218650640094518,-0.218650640094518,2.26920329210456,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,0.108201755081431,6.22000642185589,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,-0.218650640094518,1.02321669511692
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",-0.471401364730005,-0.471401364730005,1.50363581756038,-0.354265905197227,-0.471401364730005,-0.369619090271151,0.212185793678932,-0.471401364730005,-0.471401364730005,-0.471401364730005,-0.410305099157604,-0.471401364730005,-0.395785867103283,-0.308815757616221,-0.471401364730005,-0.116242051708758,-0.471401364730005,-0.316053809963637,-0.471401364730005,-0.36601195906979,5.59778827242435,-0.471401364730005,0.0669452273140604,0.0377708600716616,0.083238448969292,2.1043030519576,-0.197022226205394,0.0814851993133258,0.0488396246118565,0.00970763602460925,-0.471401364730005,-0.471401364730005,-0.471401364730005,-0.471401364730005,-0.0810509571830844,-0.2175798664045,1.35049002429222,0.0163094268779222,-0.218543199028897,-0.233995620643526,1.33070908473118,0.000566556545326787,-0.0916846942742219,-0.471401364730005,-0.471401364730005,0.124397131061387,-0.406171486466721,-0.471401364730005
"ANAEROFRUCAT-PWY: homolactic fermentation",-0.607732699801705,-0.702403963049875,0.816993298459087,0.933437422503836,1.58139652004634,0.926646935588908,-0.811482074163032,1.49869427651782,-0.49585813982436,-0.21773594604087,-0.849764097838975,-0.801962056077657,-0.77313737793553,-0.687102184493831,0.432193762074789,0.438341746212816,-0.333202692960558,0.0531720983716871,0.19444904428123,-0.251936256018766,1.80951106060088,0.45792756392539,-0.437178898927088,2.24911513642409,1.74159639915841,0.718765270772684,2.28409252292075,-0.37501114948249,-1.07975315567601,-0.504431972983849,0.540286524885286,0.05072175564155,-0.734085592483278,-0.555911883369421,0.0792505247439378,-0.176928172117595,-0.657686386693571,-1.43043420029567,0.973061685550606,1.78042813443643,-0.0253497121969623,-1.64626844772698,-0.640317114244893,-0.975358956347268,-0.638887294357881,-0.550441609394161,-1.37872198345728,-1.22099766515698
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.269667703192882,-0.464351800482917,-0.164689018266594,0.751305060664209,0.598044520818611,0.277877182648451,-0.709725930444874,0.753870746924648,-0.00387544384912294,0.640444645398463,-0.449009178427427,0.253486622650913,-0.667741547434983,-0.90072945418999,0.58102201975658,0.946678783170221,-0.337293703531699,0.741657908606757,-0.165715119022407,-0.379482275343796,1.06607765798333,0.909089904433076,-0.37542928251331,1.89893352607566,2.94187570439051,2.19625899118309,2.58464912033646,-0.537556827891822,-0.689245723818188,-0.543031595239575,-0.148547829544561,-0.372840995294776,-1.16858098303559,-0.201019025886155,-0.0436119895163138,-0.48486172015585,-0.397590511059643,-1.84655107474904,0.0248122008496235,0.606211274530639,-0.294133591600588,-0.0963255016781587,-1.08032966822874,-0.973432962415504,-1.06911860555148,-0.629670682585224,-1.68779966596537,-1.15967186589044
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.594227446185584,-0.682943461778917,-0.255068898925202,-0.191730162030995,-0.713205577356588,-0.293492972323299,-0.55157974400174,-0.203153478295497,-0.780718778960198,-0.170595316244424,-0.620947711753686,-0.180005037411161,-0.823084227547749,-0.805945819771764,0.108038068970655,-0.479102267933989,0.571365418746507,0.443615456718261,0.882013390027822,-0.16047281448623,5.01546930613178,1.14035848126706,-0.947956908909089,-0.0970259987309513,2.86528161679723,0.717379991715593,0.112069893173307,-0.551858177994437,0.295390218950964,-0.307130393939928,-0.591234368897079,-0.651812088699158,0.0593185486600496,-0.750023131267999,-0.292267007634411,-0.77400700302032,0.797329637604874,-0.478017493668755,-0.276201915003684,0.0528842117082832,-0.235315936258305,-0.170865191795842,-0.154406816815914,-0.605322185272169,0.871059743619139,0.101720722179786,-0.560349972413572,-0.271681293313842
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",-0.295447835988131,-0.295447835988131,-0.295447835988131,0.409935680250909,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,4.93699311618049,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,3.58927561374292,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,2.4025331623702,-0.241183321876763,-0.199276896974824,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.295447835988131,-0.129437979220215,-0.295447835988131,0.383447867047089,0.370178362017315,-0.295447835988131,-0.295447835988131
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",-0.894184484696005,-1.24940556214937,-0.237065361770888,1.27980149206142,-1.2387797415291,-0.808820443296866,-0.197681706181961,-0.770766315365864,0.201865540319981,-0.41356221006447,-1.09599054680665,-1.01993774969072,-0.756030144010602,-0.175216730634631,-1.20516080907678,-0.520318828115282,1.02071534583908,-0.0958508725243425,0.92943883888523,1.31385307168341,1.94551788067978,-0.419196228803116,0.421302914127744,0.34901096805275,0.459189958064408,1.56663411050131,2.52502037015076,-0.171121067218876,0.288548959230314,-0.716238757079189,-1.12519613825967,-0.723218755546982,0.408625237793133,2.2868104391179,-1.01932522357346,0.574964460670414,0.0999692307464552,-0.15636117612491,-0.649560600756068,-1.13784044200031,0.0562350478108868,-1.09298337617391,-0.913024091394376,-0.27027057801696,1.28557568975478,1.79524244430389,-0.344962003063477,0.609747944131182
