"","MS01","MS02","MS05","MS07","MS08","MS09","MS10","MS11","MS13","MS14","MS15","MS16","MS17","MS20","MS21","MS22","MS23","MS24","MS25","MS26","MS27","MS28","MS19","MS30","MS32","MS33","MS34","MS29","MS37","MS38","MS39","MS40","MS42","MS43","MS45","MS47","MS50","MS51","MS54","MS55","MS57","MS58","MS59","MS63","MS65","MS66","MS67","MS68"
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,6.7838656629781,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406,-0.144337567297406
"1CMET2-PWY: folate transformations III (E. coli)",0.341816440488975,1.54629175642763,-0.966488113762885,0.484849638991237,0.00204878551714955,-0.437183604387456,-0.0698251414961204,0.20988592602463,0.831355474620555,0.178160325428929,1.33717844534108,1.13209783328439,-0.0382526813699068,-0.776415267716073,-0.811407864994195,0.673978118809537,0.147736418823879,-0.166380207508622,-1.3216463859183,-0.562171750901657,-2.4545030089595,-0.372507279440146,0.152866624551745,-0.770213078701787,-0.110611553203225,0.706188664225286,0.187093519482424,0.356696589440942,0.243678922958427,0.744984249829039,-1.75564647644872,-1.05467150077668,-1.76292064874942,1.60063109968447,0.763820527576125,1.87648813205642,-0.0833525496342708,-0.132255406224267,0.0242796770045648,-0.0448887683810765,-0.30359406817032,1.02313838924332,-1.1432377389642,-1.24755192209745,-1.47527180022685,0.241152105211867,0.410321277173499,2.64425787583703
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,4.50536116360238,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.112181338029204,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,1.96232987282415,-0.275658579936107,-0.186708579856673,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,-0.275658579936107,0.116770437139737,-0.275658579936107,4.39131393053007,0.625116291169918,-0.275658579936107,-0.275658579936107
"AEROBACTINSYN-PWY: aerobactin biosynthesis",-0.246122054686681,-0.246122054686681,-0.246122054686681,2.74372234869975,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,0.0811309837797724,5.54561717139175,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,-0.246122054686681,2.4588999023427
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",-0.580387835645809,-0.580387835645809,2.21754197512376,-0.451983850930683,-0.580387835645809,-0.451588407521806,0.638632379452565,-0.580387835645809,-0.580387835645809,-0.580387835645809,-0.471432802935407,-0.580387835645809,-0.449436165820711,-0.346140263677269,-0.580387835645809,-0.167913061332371,-0.580387835645809,-0.399956445779241,-0.580387835645809,-0.436600868335183,4.5935562876725,-0.580387835645809,0.189691015122089,-0.115376025562861,-0.12530344905041,1.98211665256863,-0.375869496365155,0.279758516272954,0.205511871346275,0.265386839247374,-0.580387835645809,-0.580387835645809,-0.580387835645809,-0.580387835645809,0.0600198955705502,-0.18364032148345,2.02791633100898,0.323095058056046,-0.224548045169415,-0.290260288163287,2.03504523191063,0.228112203132512,0.0686993714166726,-0.580387835645809,-0.580387835645809,0.265021814562257,-0.443074908711994,-0.580387835645809
"ANAEROFRUCAT-PWY: homolactic fermentation",-0.551662127723206,0.216348822567648,1.60712321415461,0.613999234461774,2.35624445513398,1.22779397254077,-0.392286423803242,2.14744849592732,-0.193439897642509,-0.719907040529825,-0.46979250723101,-1.06574933320623,-0.404296810837253,-0.771004485958548,0.448653870714254,0.200429729694165,-0.621365012947812,-0.307915231573784,-0.380986710558226,-0.236762571819629,0.565190158633614,-0.259447279164342,-0.383545136198606,1.30611022408799,0.352115943217206,-0.00214072712090018,0.466065378544625,-0.00720072449854318,-1.3166740346245,0.178398842235328,0.456599203675215,0.855429334059073,-0.958039613746188,-0.79371762025482,1.02653115549745,0.360985152103861,-0.739919614427917,-1.57817356202301,1.82353759637929,2.25460388983195,0.340375612223013,-2.13756764290203,-0.185252935593289,-1.03285935025156,-0.529759161546388,-0.590720759166358,-1.2026393184424,-0.971158651891032
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",1.35926474687806,2.13642570156721,0.0671441042926157,-0.103210733723844,0.958843826305675,0.111673023496987,0.518217039321129,1.12697074291728,1.2055234154965,-0.014566019814015,1.19187555258594,0.708534643302968,0.403250393051923,-1.34643514097354,0.533473136888168,0.642360951244783,-1.09432591551128,0.298080699185534,-1.69093670972863,-0.622463965519556,-1.27344489468327,-0.444481078719577,-0.299444870707988,0.244625339915342,0.736435301426053,1.33067062977465,-0.36802353752771,-0.0678148168347496,-0.603947135300375,0.834345807668668,-1.00861733643301,0.49826902780214,-2.12787488511573,-0.485100069630655,1.49025472192657,0.0848199310675781,-0.339709754905712,-2.235538080422,0.405861930062915,0.445138266352523,-0.0291434128471228,1.73945732145004,-0.715505504453542,-0.956637421801801,-1.37616535044895,-0.876727340154724,-1.08626998778245,0.0948677090590224
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",1.30196066164112,-0.546069612451086,-0.216496524052802,-0.493842662854172,-1.0209697235807,-0.440175351016615,-0.411579446035923,-0.283640814417359,-0.987460980348063,-0.416118375354063,-0.552601638955488,-0.140960416660937,-0.987633303595815,-1.09476309020285,0.106053579154091,-0.797216114830123,0.774401167104198,0.42502065936056,0.785761495927682,-0.127512700572234,4.27966411482505,0.929856244868481,-1.33141493147854,-0.611952366586819,2.03991708753684,0.417519721010309,-0.651261575366418,-0.588288808150267,0.836366005890103,0.0588890313826384,-0.918343101089443,-0.738629461976559,0.236352714128651,-1.06829358907177,-0.0369226943673384,-0.978578204633765,1.51836289561496,-0.20256110065914,-0.260842123601598,-0.00380411697867054,-0.145226229888301,0.277765567083634,0.305447833713039,-0.666074871909003,1.86564301056525,0.363406969834224,-0.18341696324853,0.380262134293566
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",-0.309924518907076,-0.309924518907076,-0.309924518907076,0.419248433125052,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,4.97064659928842,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,2.69584814990853,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,3.19911134570207,-0.2423044268455,-0.161138868125163,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.309924518907076,-0.0423207201204601,-0.309924518907076,0.667226123169241,0.58073960127378,-0.309924518907076,-0.309924518907076
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",-0.917981110243258,-1.35195545552659,-0.166611290315848,0.941547075799197,-1.34649415102909,-0.895595722801558,0.203016215346699,-0.846553635250933,0.534550735778222,-0.569502636874077,-1.12672495852597,-1.09483141125302,-0.645027746072313,-0.072158172537148,-1.31291503957058,-0.65644048157254,0.995357961779115,-0.247143637864841,0.575468203782645,1.54543297319254,0.898833949126954,-0.666794955939846,0.626865253520575,-0.149755648460213,-0.198615226441322,0.964802327398833,0.972382361939221,0.0366602145841117,0.572318441857125,-0.576017051024709,-1.23537113903728,-0.65810072991459,0.540850259629262,2.52100549631094,-1.04175497910527,1.01137170465279,0.246656608380194,0.32759371505513,-0.656431650464337,-1.24560757092495,0.216174566568266,-1.13202067974467,-0.877171087388631,-0.0717210326811297,1.85566980434262,2.22912265170817,0.229421228871856,1.71419545094027
