# Pathway	AMCTRL15_R1.fq_fused_Abundance-CPM	ERR4330046_1.fastq_fused_Abundance-CPM	ERR4330063_1.fastq_fused_Abundance-CPM	ERR4330071_1.fastq_fused_Abundance-CPM	ERR4330072_1.fastq_fused_Abundance-CPM	ERR4330106_1.fastq_fused_Abundance-CPM	ERR4330111_1.fastq_fused_Abundance-CPM	ERR4333879_1.fastq_fused_Abundance-CPM	ERR4333941_1.fastq_fused_Abundance-CPM	ERR4333958_1.fastq_fused_Abundance-CPM	ERR4333961_1.fastq_fused_Abundance-CPM	ERR4334017_1.fastq_fused_Abundance-CPM	ERR4334044_1.fastq_fused_Abundance-CPM	ERR4334065_1.fastq_fused_Abundance-CPM	ERR4334084_1.fastq_fused_Abundance-CPM	ERR4334132_1.fastq_fused_Abundance-CPM	ERR4334171_1.fastq_fused_Abundance-CPM	ERR4334201_1.fastq_fused_Abundance-CPM	ERR4334219_1.fastq_fused_Abundance-CPM	ERR4334225_1.fastq_fused_Abundance-CPM	ERR4334253_1.fastq_fused_Abundance-CPM	ERR4335098_1.fastq_fused_Abundance-CPM	ERR4335137_1.fastq_fused_Abundance-CPM	ERR4335169_1.fastq_fused_Abundance-CPM	ERR4335257_1.fastq_fused_Abundance-CPM	ERR4335259_1.fastq_fused_Abundance-CPM	ERR4335281_1.fastq_fused_Abundance-CPM	ERR4335315_1.fastq_fused_Abundance-CPM	ERR4341695_1.fastq_fused_Abundance-CPM	ERR4341716_1.fastq_fused_Abundance-CPM	ERR4341722_1.fastq_fused_Abundance-CPM	ERR4341723_1.fastq_fused_Abundance-CPM	ERR4341772_1.fastq_fused_Abundance-CPM	ERR4341784_1.fastq_fused_Abundance-CPM	ERR4341884_1.fastq_fused_Abundance-CPM	ERR4341923_1.fastq_fused_Abundance-CPM	ERR4341949_1.fastq_fused_Abundance-CPM	ERR4341950_1.fastq_fused_Abundance-CPM	HV01_R1.fq_fused_Abundance-CPM	HV02_R1.fq_fused_Abundance-CPM	HV03_R1.fq_fused_Abundance-CPM	HV04_R1.fq_fused_Abundance-CPM	HV05_R1.fq_fused_Abundance-CPM	HV06_R1.fq_fused_Abundance-CPM	HV07_R1.fq_fused_Abundance-CPM	HV08_R1.fq_fused_Abundance-CPM	HV09_R1.fq_fused_Abundance-CPM	HV10_R1.fq_fused_Abundance-CPM	HV11_R1.fq_fused_Abundance-CPM	HV12_R1.fq_fused_Abundance-CPM	HV13_R1.fq_fused_Abundance-CPM	HV14_R1.fq_fused_Abundance-CPM	MAV02T0_EKDN230029731-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	MAV05T0_EKDN230029732-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	MAV09T0_EKDN230029733-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	MAV10T0_EKDN230029734-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV11T0_EKDN230029735-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV13T0_EKDN230029736-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV14T0_EKDN230029737-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV17T0_EKDN230029738-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV18T0_EKDN230029739-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV19T0_R1.fq_fused_Abundance-CPM	MAV21T0_EKDN230029741-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV26T0_EKDN230029742-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV27T0_EKDN230029743-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV28T0_EKDN230029744-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV29T0_EKDN230029745-1A_HJGKNDSX7_L3_R1_fused_Abundance-CPM	MAV30T0_EKDN230029746-1A_HJGKNDSX7_L3_R1.fq_fused_Abundance-CPM	MAV32T0_R1.fq_fused_Abundance-CPM	MAV33T0_R1.fq_fused_Abundance-CPM	MBCTRL17_R1.fq_fused_Abundance-CPM	MS10_S10_R1.fq_fused_Abundance-CPM	MS11_R1.fq_fused_Abundance-CPM	MS12_R1.fq_fused_Abundance-CPM	MS13_R1.fq_fused_Abundance-CPM	MS14_R1.fq_fused_Abundance-CPM	MS15_R1.fq_fused_Abundance-CPM	MS16_R1.fq_fused_Abundance-CPM	MS17_R1.fq_fused_Abundance-CPM	MS18_R1.fq_fused_Abundance-CPM	MS19_R1.fq_fused_Abundance-CPM	MS1_S1_R1.fq_fused_Abundance-CPM	MS20_R1.fq_fused_Abundance-CPM	MS21_R1.fq_fused_Abundance-CPM	MS22_R1.fq_fused_Abundance-CPM	MS23_R1.fq_fused_Abundance-CPM	MS24_R1.fq_fused_Abundance-CPM	MS25_R1.fq_fused_Abundance-CPM	MS26_R1.fq_fused_Abundance-CPM	MS2_S2_R1.fq_fused_Abundance-CPM	MS3_S3_R1.fq_fused_Abundance-CPM	MS4_S4_R1.fq_fused_Abundance-CPM	MS5_S5_R1.fq_fused_Abundance-CPM	MS6_S6_R1.fq_fused_Abundance-CPM	MS7_S7_R1.fq_fused_Abundance-CPM	MS8_S8_R1.fq_fused_Abundance-CPM	MS9_S9_R1.fq_fused_Abundance-CPM	NBCTRL18_R1.fq_fused_Abundance-CPM	RRCTRL16_EKDN240004377-1A_2237LCLT4_L8_R1.fq_fused_Abundance-CPM	TEC01T0_ZKDN230026684-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC02T0_EKDN230029719-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC03T0_ZKDN230026686-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC04T0_EKDN230029720-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC05T0_R1.fq_fused_Abundance-CPM	TEC06T0_R1.fq_fused_Abundance-CPM	TEC07T0_EKDN230029723-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC08T0_EKDN230029724-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC09T0_EKDN230029725-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC10T0_ZKDN230026688-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC11T0_EKDN230029726-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC12T0_EKDN230029727-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC14T0_ZKDN230026689-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC15T0_EKDN230029728-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC16T0_EKDN230029729-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC17T0_ZKDN230026690-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC19T0_EKDN230029730-1A_HJJTWDSX7_L3_R1.fq_fused_Abundance-CPM	TEC20T0_ZKDN230026691-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC21T0_ZKDN230026692-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC22T0_ZKDN230026693-1A_HMC2MDSX7_L1_R1.fq_fused_Abundance-CPM	TEC24T0_ZKDN230026709-1A_HMC2MDSX7_L2_R1.fq_fused_Abundance-CPM	TEC26T0_EKDN240004369-1A_222VCVLT4_L1_R1.fq_fused_Abundance-CPM	TEC27T0_R1.fq_fused_Abundance-CPM	TEC28T0_EKDN240004371-1A_222VCVLT4_L1_R1.fq_fused_Abundance-CPM	TEC30T0_EKDN240004380-1A_222VKGLT4_L1_R1.fq_fused_Abundance-CPM	TEC31T0_EKDN240004383-1A_222VKGLT4_L1_R1.fq_fused_Abundance-CPM
UNMAPPED	227394	249400	337208	292262	334497	470162	401956	379476	443328	321764	362280	361138	444528	358276	269538	369066	313091	497043	349317	331602	270206	367422	319148	356906	280817	340996	285215	287468	277510	284033	394710	442826	366874	358367	347254	362029	231248	461754	209376	215560	190500	228864	195501	196344	198775	227581	216857	222322	264454	321123	271333	250308	258386	250573	192155	275675	247090	306732	202528	215165	235950	231740	211504	284787	195439	294476	216715	261945	227117	209152	209641	325874	343860	286409	250948	232504	275069	262293	219126	320747	316861	246109	206651	197181	203092	209343	186346	235652	216234	274922	302250	321235	344747	282864	424142	270745	264884	306594	316904	334780	250879	276232	200235	242045	182531	218381	227549	210522	188010	218501	211724	189873	199146	199088	303730	279185	192487	250210	277791	174153	151042	169721	242228	194869	276332
UNINTEGRATED	725624	698388	617553	665658	623870	492803	558644	575482	520648	633697	595189	597406	517547	597925	685924	587064	644557	467795	607884	623408	688295	592370	635850	604987	673428	615286	665323	668299	675683	666364	566065	520910	592458	601473	610829	592952	722163	505409	733523	728387	749763	721336	748476	747820	744486	714508	732343	726887	682845	633012	675914	698722	689880	694141	757068	669637	698844	651066	741193	724630	709162	717804	729445	669408	749754	656246	730701	686982	727033	743050	740377	632019	606010	661099	700904	716150	673840	691878	734693	623214	637927	706716	736638	749329	742363	732751	759687	713608	732464	674322	651234	630079	608077	666362	541743	684677	685380	651457	639110	617589	693313	679165	745312	706673	757785	733612	729777	734160	746292	724570	730420	745962	747937	747646	651361	672698	758587	704170	681478	778384	801548	779815	713974	751541	678835
UNINTEGRATED|g__Abiotrophia.s__Abiotrophia_defectiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.3401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	287.034	0	325.439	0	0	0	0	4678.94	0	0	2594.19	0	0	0	0	0	0	0	0	0	0	0	6234.91	0	1903.76	0	0	0	0	0	0	0	0	0	0	0	0	0	517.537	0	0	0	0	0	0	2862.51	0	0	21798.3	0	0	1601.77	0	455.036	2334.09	409.497	0	0	0	0	1919.95	1808.17	3237.27	0	0	0	0	0	1563.36	0	0	0	3422.66	437.061	0	0	0	0	0	0	0	21451.4	0	0	2315.3	0	7173.48	0	0	0	405.871	0	0	0	0	0	20525.2	2145.84	1011.91	19070.6	0	0	0	0	0	0	0	3986.09	0	0	1928.01	9121.27	0	0	0	0	10059.3	1488.57	8006.75	0	3332.29	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394.669	0	116.835	0	323.25	0	0	0	0	0	0	0	0	0	0	0	0	80.4354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375.294	0	0	0	493.985	0	0	0	0	0	0	0	0	0	0	0	0	33.2791	206.654	0	151.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.3826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	126.369	127.316	119.908	202.032	224.606	417.236	666.601	0	0	381.356	480.587	166.526	618.147	270.167	132.508	0	0	0	0	357.388	0	123.772	179.593	0	165.03	178.198	200.146	133.087	240.354	337.623	925.007	437.41	340.791	2250.95	260.725	45.5616	297.429	1196.04	7744.53	172.181	0	1639.23	930.917	0	1933.01	5000.75	1950.11	2641.1	1250.96	1067.54	396.015	5044.77	484.321	1786.96	2718.75	1677.23	693.706	0	210.928	577.672	2217.5	325.905	244.505	154.35	136.449	0	455.495	262.9	0	0	0	627.628	343.463	4869.55	243.68	0	1202.24	124.675	225.545	230.121	1004.13	0	982.843	1403.49	1039.82	3195.26	0	1086.46	1070.81	4137.58	611.224	886.022	0	0	0	404.619	745.776	0	254.969	0	1059.76	0	0	738.391	0	74.6108	0	263.231	0	241.175	215.098	0	398.008	0	0	1366.35	0	0	931.971	0	350.787	0	248.08	0	0
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	1729.58	0	0	4983.01	0	4003.16	11320	2850.21	0	0	9280.63	0	807.214	15486.7	0	0	13472.7	378.655	0	268.385	0	0	2937.28	3787.75	3011.41	0	19056.2	0	0	0	0	855.777	0	664.405	0	15480.5	0	9565.98	0	1452.85	0	0	0	0	4373.25	449.848	174.072	2828.05	0	4879.13	282.193	305.655	0	0	0	0	0	2750.61	2046.13	0	0	8566.9	0	19014.8	0	0	0	0	912.665	3553.75	0	936.525	21175	0	0	18016.4	0	33919.8	9260.79	0	0	1700.26	0	0	11578.4	9016.88	0	1184.57	562.4	482.552	0	0	0	0	127.725	409.663	1756.46	209.89	847.369	1494.6	0	6883.46	0	0	456.752	1117.87	0	8496.37	0	0	0	0	0	104732	0	2059.07	0	0	0	0	0	0	0
