"id","old_id"
"HD01","HV01"
"HD02","HV02"
"HD03","HV03"
"HD04","HV04"
"HD05","HV05"
"HD06","HV06"
"HD07","HV07"
"HD08","HV08"
"HD09","HV09"
"HD10","HV10"
"HD11","HV11"
"HD12","HV12"
"HD13","HV13"
"HD14","HV14"
"HD15","AMCTRL15"
"HD16","MBCTRL17"
"HD17","NBCTRL18"
"HD18","RRCTRL16"
"HD19","ERR4330046"
"HD20","ERR4330063"
"HD21","ERR4330071"
"HD22","ERR4330072"
"HD23","ERR4330106"
"HD24","ERR4330111"
"HD25","ERR4333879"
"HD26","ERR4333941"
"HD27","ERR4333958"
"HD28","ERR4333961"
"HD29","ERR4334017"
"HD30","ERR4334044"
"HD31","ERR4334065"
"HD32","ERR4334084"
"HD33","ERR4334132"
"HD34","ERR4334171"
"HD35","ERR4334201"
"HD36","ERR4334219"
"HD37","ERR4334225"
"HD38","ERR4334253"
"HD39","ERR4335098"
"HD40","ERR4335137"
"HD41","ERR4335169"
"HD42","ERR4335257"
"HD43","ERR4335259"
"HD44","ERR4335281"
"HD45","ERR4335315"
"HD46","ERR4341695"
"HD47","ERR4341716"
"HD48","ERR4341722"
"HD49","ERR4341723"
"HD50","ERR4341772"
"HD51","ERR4341784"
"HD52","ERR4341884"
"HD53","ERR4341923"
"HD54","ERR4341949"
"HD55","ERR4341950"
"MS01","MAV02T0"
"MS02","MAV05T0"
"MS05","MAV11T0"
"MS07","MAV14T0"
"MS08","MAV17T0"
"MS09","MAV18T0"
"MS10","MAV19T0"
"MS11","MAV21T0"
"MS13","MAV27T0"
"MS14","MAV28T0"
"MS15","MAV29T0"
"MS16","MAV30T0"
"MS17","MAV32T0"
"MS19","MS1"
"MS20","MS10"
"MS21","MS11"
"MS22","MS12"
"MS23","MS13"
"MS24","MS14"
"MS25","MS16"
"MS26","MS17"
"MS27","MS18"
"MS28","MS19"
"MS29","MS2"
"MS30","MS20"
"MS31","MS21"
"MS32","MS22"
"MS33","MS23"
"MS34","MS24"
"MS35","MS25"
"MS36","MS26"
"MS37","MS3"
"MS38","MS4"
"MS39","MS5"
"MS40","MS6"
"MS41","MS7"
"MS42","MS8"
"MS43","MS9"
"MS45","TEC02T0"
"MS47","TEC04T0"
"MS50","TEC07T0"
"MS51","TEC08T0"
"MS52","TEC09T0"
"MS54","TEC11T0"
"MS55","TEC12T0"
"MS57","TEC15T0"
"MS58","TEC16T0"
"MS59","TEC17T0"
"MS63","TEC22T0"
"MS65","TEC26T0"
"MS66","TEC27T0"
"MS67","TEC28T0"
"MS68","TEC30T0"
"MS69","TEC31T0"
"NEG","BLANK_Batch3"
"POS","REF1"
